title,company,location,salary_ngn,skills,experience,job_type,source
Machine Learning Engineer,HRLeverage,Abuja,607000,"PyTorch, Python, Docker",Entry Level,Contract,Nigerian Job Market 2024
Database Administrator,Jumia,Enugu,315000,"MySQL, SQL",Senior Level,Contract,Nigerian Job Market 2024
DevOps Engineer,MTN Nigeria,Remote,726000,"Terraform, AWS, Docker, Linux",Entry Level,Contract,Nigerian Job Market 2024
Data Scientist,Kuda Bank,Remote,309000,"Pandas, Statistics",Senior Level,Contract,Nigerian Job Market 2024
API Developer,Access Bank,Remote,375000,"SQL, Node.js",Senior Level,Full Time,Nigerian Job Market 2024
Backend Developer,Softcom,Port Harcourt,524000,"Django, Python, PostgreSQL",Senior Level,Contract,Nigerian Job Market 2024
API Developer,Andela,Port Harcourt,426000,"SQL, FastAPI, REST API, Postman",Entry Level,Remote,Nigerian Job Market 2024
Business Analyst,Paystack,Remote,432000,"Requirements Analysis, Excel",Senior Level,Full Time,Nigerian Job Market 2024
IT Support Engineer,Interswitch,Enugu,171000,"SQL, Linux",Lead,Contract,Nigerian Job Market 2024
IT Support Engineer,Flutterwave,Port Harcourt,140000,"Linux, ITIL",Senior Level,Hybrid,Nigerian Job Market 2024
Cloud Engineer,Paystack,Remote,554000,"Azure, AWS, Terraform",Mid Level,Contract,Nigerian Job Market 2024
Mobile Developer,Flutterwave,Ibadan,435000,"Kotlin, React Native, Firebase",Lead,Remote,Nigerian Job Market 2024
Data Scientist,Access Bank,Kano,692000,"TensorFlow, Pandas",Senior Level,Full Time,Nigerian Job Market 2024
Backend Developer,Paystack,Abuja,333000,"PostgreSQL, Django",Lead,Remote,Nigerian Job Market 2024
API Developer,Jobberman,Ibadan,360000,"Postman, SQL, REST API",Senior Level,Full Time,Nigerian Job Market 2024
API Developer,Cowrywise,Enugu,423000,"Postman, SQL",Lead,Full Time,Nigerian Job Market 2024
Machine Learning Engineer,SystemSpecs,Kano,638000,"PyTorch, Python, MLOps, SQL",Senior Level,Hybrid,Nigerian Job Market 2024
API Developer,Jobberman,Port Harcourt,351000,"Python, SQL, FastAPI, Node.js",Senior Level,Hybrid,Nigerian Job Market 2024
Database Administrator,Airtel Nigeria,Enugu,180000,"MySQL, PostgreSQL, MongoDB",Lead,Hybrid,Nigerian Job Market 2024
DevOps Engineer,PiggyVest,Abuja,645000,"Linux, CI/CD",Senior Level,Remote,Nigerian Job Market 2024
Backend Developer,Jumia,Ibadan,584000,"REST API, Django",Mid Level,Full Time,Nigerian Job Market 2024
Data Analyst,Talentbase,Ibadan,275000,"Tableau, Python, Power BI",Lead,Hybrid,Nigerian Job Market 2024
Full Stack Developer,Interswitch,Kano,324000,"Docker, React",Mid Level,Contract,Nigerian Job Market 2024
Cloud Engineer,Interswitch,Remote,830000,"AWS, Linux, Azure",Mid Level,Hybrid,Nigerian Job Market 2024
Machine Learning Engineer,Access Bank,Kano,843000,"Docker, PyTorch, SQL, MLOps",Lead,Contract,Nigerian Job Market 2024
API Developer,Access Bank,Remote,443000,"Node.js, Python, SQL",Mid Level,Remote,Nigerian Job Market 2024
DevOps Engineer,Softcom,Abuja,339000,"AWS, Kubernetes, Terraform, Linux",Mid Level,Contract,Nigerian Job Market 2024
Software Engineer,Talentbase,Enugu,396000,"Python, Agile, Java, Docker",Lead,Hybrid,Nigerian Job Market 2024
Data Analyst,Airtel Nigeria,Kano,255000,"Power BI, Tableau, Python",Lead,Full Time,Nigerian Job Market 2024
Frontend Developer,Sterling Bank,Ibadan,302000,"CSS, TypeScript, JavaScript",Senior Level,Hybrid,Nigerian Job Market 2024
DevOps Engineer,HRLeverage,Port Harcourt,314000,"AWS, CI/CD, Kubernetes",Entry Level,Hybrid,Nigerian Job Market 2024
Business Analyst,HRLeverage,Port Harcourt,438000,"SQL, Agile, Requirements Analysis, JIRA",Entry Level,Remote,Nigerian Job Market 2024
Full Stack Developer,Softcom,Kano,367000,"SQL, Python",Senior Level,Hybrid,Nigerian Job Market 2024
Data Scientist,MTN Nigeria,Lagos,677000,"SQL, Python",Senior Level,Contract,Nigerian Job Market 2024
Machine Learning Engineer,Flutterwave,Port Harcourt,370000,"Python, MLOps, TensorFlow, Docker",Mid Level,Contract,Nigerian Job Market 2024
DevOps Engineer,HRLeverage,Remote,642000,"Linux, Kubernetes",Senior Level,Contract,Nigerian Job Market 2024
Business Analyst,Airtel Nigeria,Lagos,208000,"Power BI, SQL",Senior Level,Hybrid,Nigerian Job Market 2024
Full Stack Developer,Jumia,Abuja,566000,"React, REST API",Senior Level,Full Time,Nigerian Job Market 2024
Cloud Engineer,Andela,Enugu,342000,"Linux, Terraform, Docker",Entry Level,Hybrid,Nigerian Job Market 2024
Mobile Developer,HRLeverage,Port Harcourt,450000,"Swift, Kotlin",Lead,Contract,Nigerian Job Market 2024
API Developer,Talentbase,Remote,467000,"Node.js, Postman, FastAPI, Python",Senior Level,Contract,Nigerian Job Market 2024
Mobile Developer,Airtel Nigeria,Kano,244000,"Swift, React Native, REST API",Senior Level,Full Time,Nigerian Job Market 2024
DevOps Engineer,MainOne,Remote,735000,"Kubernetes, CI/CD, Terraform",Senior Level,Remote,Nigerian Job Market 2024
IT Support Engineer,Cowrywise,Abuja,232000,"Windows Server, Help Desk, Networking, SQL",Mid Level,Hybrid,Nigerian Job Market 2024
DevOps Engineer,Sterling Bank,Remote,584000,"Terraform, CI/CD",Entry Level,Full Time,Nigerian Job Market 2024
Data Scientist,Airtel Nigeria,Enugu,363000,"Pandas, Machine Learning, TensorFlow",Lead,Remote,Nigerian Job Market 2024
Full Stack Developer,SystemSpecs,Remote,581000,"Python, Docker, SQL, Node.js",Mid Level,Full Time,Nigerian Job Market 2024
API Developer,Cowrywise,Ibadan,298000,"REST API, Postman, Python",Lead,Remote,Nigerian Job Market 2024
API Developer,SystemSpecs,Ibadan,501000,"Postman, Node.js, REST API, FastAPI",Senior Level,Contract,Nigerian Job Market 2024
Data Scientist,Paystack,Remote,257000,"Statistics, Machine Learning, TensorFlow, Python",Mid Level,Hybrid,Nigerian Job Market 2024
Backend Developer,Softcom,Port Harcourt,206000,"Django, FastAPI, PostgreSQL, Node.js",Entry Level,Remote,Nigerian Job Market 2024
Mobile Developer,Sterling Bank,Abuja,444000,"Flutter, Swift",Entry Level,Contract,Nigerian Job Market 2024
Python Developer,MTN Nigeria,Kano,468000,"Python, Django, Docker",Mid Level,Hybrid,Nigerian Job Market 2024
DevOps Engineer,SystemSpecs,Lagos,765000,"AWS, Linux, CI/CD",Entry Level,Contract,Nigerian Job Market 2024
Machine Learning Engineer,Jumia,Port Harcourt,516000,"MLOps, Python, TensorFlow",Entry Level,Contract,Nigerian Job Market 2024
Data Analyst,SystemSpecs,Lagos,359000,"Pandas, Tableau, Power BI",Mid Level,Remote,Nigerian Job Market 2024
API Developer,Airtel Nigeria,Ibadan,344000,"FastAPI, REST API, Python, SQL",Lead,Full Time,Nigerian Job Market 2024
Database Administrator,Paystack,Port Harcourt,295000,"PostgreSQL, MySQL, Redis, SQL",Senior Level,Remote,Nigerian Job Market 2024
DevOps Engineer,Terragon Group,Remote,363000,"Terraform, AWS, CI/CD",Lead,Full Time,Nigerian Job Market 2024
Business Analyst,Flutterwave,Abuja,170000,"Agile, Power BI, JIRA",Mid Level,Full Time,Nigerian Job Market 2024
Cloud Engineer,HRLeverage,Remote,575000,"AWS, Azure, Terraform, Docker",Mid Level,Hybrid,Nigerian Job Market 2024
Machine Learning Engineer,Talentbase,Enugu,803000,"SQL, PyTorch",Senior Level,Full Time,Nigerian Job Market 2024
Mobile Developer,Jobberman,Lagos,282000,"Swift, REST API, Kotlin",Lead,Full Time,Nigerian Job Market 2024
Frontend Developer,MTN Nigeria,Remote,279000,"React, CSS, Vue.js",Lead,Full Time,Nigerian Job Market 2024
Software Engineer,Paystack,Ibadan,465000,"Docker, Git, Agile",Senior Level,Contract,Nigerian Job Market 2024
IT Support Engineer,Flutterwave,Ibadan,153000,"SQL, ITIL, Networking",Mid Level,Remote,Nigerian Job Market 2024
Database Administrator,HRLeverage,Abuja,187000,"MongoDB, SQL, PostgreSQL, Oracle",Mid Level,Hybrid,Nigerian Job Market 2024
IT Support Engineer,Sterling Bank,Ibadan,154000,"SQL, Windows Server, ITIL, Linux",Lead,Contract,Nigerian Job Market 2024
Full Stack Developer,Talentbase,Enugu,297000,"REST API, Node.js, React, Docker",Senior Level,Full Time,Nigerian Job Market 2024
Data Scientist,Kuda Bank,Remote,621000,"Statistics, Pandas, SQL",Lead,Remote,Nigerian Job Market 2024
Frontend Developer,Jumia,Kano,432000,"CSS, Vue.js, HTML, React",Mid Level,Hybrid,Nigerian Job Market 2024
Data Analyst,Kuda Bank,Remote,312000,"Power BI, Pandas, Tableau, Excel",Entry Level,Contract,Nigerian Job Market 2024
Database Administrator,Access Bank,Remote,482000,"SQL, MongoDB, Redis",Entry Level,Contract,Nigerian Job Market 2024
Full Stack Developer,Softcom,Kano,645000,"Node.js, React, SQL, Docker",Entry Level,Remote,Nigerian Job Market 2024
Mobile Developer,Paystack,Abuja,545000,"Swift, Kotlin, REST API, Firebase",Mid Level,Remote,Nigerian Job Market 2024
Software Engineer,Interswitch,Remote,582000,"Git, Java",Mid Level,Remote,Nigerian Job Market 2024
IT Support Engineer,SystemSpecs,Enugu,87000,"Windows Server, Networking",Senior Level,Hybrid,Nigerian Job Market 2024
Python Developer,PiggyVest,Abuja,305000,"FastAPI, SQL, Django, Python",Lead,Contract,Nigerian Job Market 2024
DevOps Engineer,Terragon Group,Remote,767000,"Kubernetes, Terraform, CI/CD, AWS",Senior Level,Full Time,Nigerian Job Market 2024
IT Support Engineer,Andela,Remote,199000,"SQL, Help Desk, Linux",Senior Level,Remote,Nigerian Job Market 2024
Machine Learning Engineer,Jobberman,Remote,734000,"PyTorch, SQL, MLOps, Python",Entry Level,Contract,Nigerian Job Market 2024
Full Stack Developer,Flutterwave,Kano,492000,"REST API, Python, Docker",Senior Level,Full Time,Nigerian Job Market 2024
Business Analyst,Dangote Group,Enugu,175000,"Agile, Requirements Analysis, Power BI, SQL",Mid Level,Contract,Nigerian Job Market 2024
Business Analyst,Paystack,Remote,278000,"Agile, Excel, SQL, Power BI",Lead,Full Time,Nigerian Job Market 2024
Business Analyst,Talentbase,Port Harcourt,336000,"Excel, SQL, Power BI, Agile",Mid Level,Contract,Nigerian Job Market 2024
Cloud Engineer,Sterling Bank,Remote,674000,"Linux, Docker, Azure, Terraform",Senior Level,Full Time,Nigerian Job Market 2024
DevOps Engineer,Jobberman,Enugu,793000,"Kubernetes, Terraform",Entry Level,Hybrid,Nigerian Job Market 2024
Data Analyst,Terragon Group,Kano,285000,"Python, Power BI, Excel, Tableau",Senior Level,Full Time,Nigerian Job Market 2024
Machine Learning Engineer,Dangote Group,Ibadan,539000,"Python, Docker, PyTorch",Entry Level,Hybrid,Nigerian Job Market 2024
IT Support Engineer,Paystack,Remote,157000,"ITIL, Networking, Linux, Help Desk",Lead,Full Time,Nigerian Job Market 2024
Backend Developer,MTN Nigeria,Kano,320000,"Node.js, FastAPI, PostgreSQL, REST API",Mid Level,Hybrid,Nigerian Job Market 2024
Machine Learning Engineer,Paystack,Enugu,401000,"Docker, SQL, PyTorch",Mid Level,Hybrid,Nigerian Job Market 2024
DevOps Engineer,MainOne,Enugu,786000,"AWS, Docker",Entry Level,Hybrid,Nigerian Job Market 2024
Data Scientist,Cowrywise,Lagos,347000,"SQL, Python",Entry Level,Remote,Nigerian Job Market 2024
Software Engineer,Cowrywise,Ibadan,264000,"Python, Java, Agile, SQL",Senior Level,Contract,Nigerian Job Market 2024
Cloud Engineer,PiggyVest,Abuja,302000,"Azure, Kubernetes, Docker",Entry Level,Contract,Nigerian Job Market 2024
Data Analyst,Flutterwave,Port Harcourt,333000,"Tableau, Excel",Senior Level,Full Time,Nigerian Job Market 2024
Python Developer,MainOne,Abuja,395000,"Python, Docker, FastAPI, Django",Lead,Contract,Nigerian Job Market 2024
Business Analyst,Flutterwave,Lagos,172000,"Agile, JIRA, Power BI, Excel",Lead,Hybrid,Nigerian Job Market 2024
Full Stack Developer,Andela,Abuja,551000,"SQL, Docker",Senior Level,Contract,Nigerian Job Market 2024
Backend Developer,Jobberman,Remote,264000,"PostgreSQL, REST API, Django",Lead,Hybrid,Nigerian Job Market 2024
Backend Developer,Cowrywise,Kano,559000,"REST API, PostgreSQL",Lead,Contract,Nigerian Job Market 2024
Full Stack Developer,Softcom,Kano,373000,"SQL, Docker, React",Senior Level,Remote,Nigerian Job Market 2024
Frontend Developer,Andela,Kano,228000,"CSS, React, TypeScript, Vue.js",Entry Level,Remote,Nigerian Job Market 2024
Cloud Engineer,Interswitch,Kano,433000,"AWS, Linux, Docker, Terraform",Senior Level,Hybrid,Nigerian Job Market 2024
Mobile Developer,SystemSpecs,Enugu,569000,"Kotlin, Firebase",Entry Level,Contract,Nigerian Job Market 2024
Python Developer,MTN Nigeria,Enugu,516000,"Django, Python, Flask",Entry Level,Remote,Nigerian Job Market 2024
Business Analyst,Dangote Group,Remote,265000,"JIRA, Agile, SQL",Entry Level,Contract,Nigerian Job Market 2024
Data Scientist,PiggyVest,Port Harcourt,609000,"TensorFlow, Pandas, Python",Lead,Full Time,Nigerian Job Market 2024
Python Developer,Cowrywise,Kano,504000,"Python, SQL",Lead,Hybrid,Nigerian Job Market 2024
Frontend Developer,Paystack,Port Harcourt,230000,"HTML, Vue.js, React",Mid Level,Full Time,Nigerian Job Market 2024
Machine Learning Engineer,Dangote Group,Remote,383000,"SQL, MLOps, Docker",Lead,Remote,Nigerian Job Market 2024
Software Engineer,SystemSpecs,Remote,586000,"Java, SQL, Git, Agile",Senior Level,Full Time,Nigerian Job Market 2024
Software Engineer,Cowrywise,Port Harcourt,402000,"Java, Agile, Python, Git",Senior Level,Remote,Nigerian Job Market 2024
Frontend Developer,PiggyVest,Port Harcourt,211000,"CSS, Vue.js",Lead,Contract,Nigerian Job Market 2024
Database Administrator,Paystack,Kano,466000,"MySQL, SQL, MongoDB, Redis",Entry Level,Hybrid,Nigerian Job Market 2024
IT Support Engineer,Talentbase,Remote,99000,"Help Desk, ITIL, SQL",Entry Level,Hybrid,Nigerian Job Market 2024
Data Analyst,MainOne,Abuja,316000,"Tableau, Power BI",Lead,Full Time,Nigerian Job Market 2024
Software Engineer,SystemSpecs,Enugu,423000,"Git, Docker, Java, Python",Mid Level,Remote,Nigerian Job Market 2024
Cloud Engineer,Access Bank,Ibadan,472000,"Linux, AWS",Senior Level,Remote,Nigerian Job Market 2024
API Developer,Kuda Bank,Remote,530000,"Python, REST API",Mid Level,Contract,Nigerian Job Market 2024
Business Analyst,Airtel Nigeria,Remote,228000,"SQL, Excel, Requirements Analysis, JIRA",Senior Level,Remote,Nigerian Job Market 2024
Python Developer,SystemSpecs,Remote,405000,"FastAPI, Docker",Entry Level,Remote,Nigerian Job Market 2024
Database Administrator,Paystack,Enugu,217000,"MongoDB, Redis, SQL",Senior Level,Full Time,Nigerian Job Market 2024
Machine Learning Engineer,Airtel Nigeria,Lagos,392000,"Docker, MLOps, SQL, TensorFlow",Lead,Contract,Nigerian Job Market 2024
Frontend Developer,Softcom,Abuja,393000,"JavaScript, React, CSS, TypeScript",Mid Level,Full Time,Nigerian Job Market 2024
Software Engineer,MainOne,Enugu,562000,"Git, Docker, Python",Senior Level,Hybrid,Nigerian Job Market 2024
Full Stack Developer,Softcom,Abuja,596000,"Docker, REST API, React",Senior Level,Full Time,Nigerian Job Market 2024
Database Administrator,Softcom,Abuja,377000,"MySQL, Oracle, PostgreSQL",Mid Level,Remote,Nigerian Job Market 2024
Data Scientist,Andela,Remote,745000,"Pandas, SQL, Machine Learning, TensorFlow",Lead,Remote,Nigerian Job Market 2024
Mobile Developer,Talentbase,Enugu,265000,"REST API, Firebase, Flutter, Kotlin",Entry Level,Remote,Nigerian Job Market 2024
Data Scientist,Cowrywise,Ibadan,342000,"TensorFlow, SQL",Mid Level,Contract,Nigerian Job Market 2024
Backend Developer,Access Bank,Lagos,351000,"PostgreSQL, REST API",Senior Level,Contract,Nigerian Job Market 2024
Business Analyst,Dangote Group,Port Harcourt,342000,"Excel, Agile",Lead,Full Time,Nigerian Job Market 2024
Full Stack Developer,SystemSpecs,Remote,386000,"Docker, Node.js, SQL, Python",Mid Level,Contract,Nigerian Job Market 2024
Data Scientist,HRLeverage,Remote,744000,"Machine Learning, TensorFlow, SQL",Lead,Hybrid,Nigerian Job Market 2024
Python Developer,Sterling Bank,Enugu,282000,"Django, Flask, Python, SQL",Entry Level,Full Time,Nigerian Job Market 2024
Data Scientist,Access Bank,Port Harcourt,292000,"TensorFlow, SQL",Lead,Full Time,Nigerian Job Market 2024
IT Support Engineer,Paystack,Kano,136000,"Windows Server, Networking, ITIL",Senior Level,Contract,Nigerian Job Market 2024
Full Stack Developer,Interswitch,Enugu,241000,"Node.js, React, Python",Mid Level,Contract,Nigerian Job Market 2024
Data Analyst,HRLeverage,Lagos,296000,"Pandas, SQL, Power BI",Entry Level,Full Time,Nigerian Job Market 2024
Data Scientist,Access Bank,Kano,360000,"Statistics, Pandas",Entry Level,Remote,Nigerian Job Market 2024
Software Engineer,Talentbase,Remote,354000,"Java, Python",Entry Level,Full Time,Nigerian Job Market 2024
Mobile Developer,Kuda Bank,Remote,455000,"Firebase, Flutter, React Native, Kotlin",Lead,Full Time,Nigerian Job Market 2024
Business Analyst,PiggyVest,Abuja,330000,"JIRA, Requirements Analysis",Senior Level,Full Time,Nigerian Job Market 2024
Database Administrator,Sterling Bank,Lagos,458000,"Oracle, Redis, SQL, PostgreSQL",Lead,Remote,Nigerian Job Market 2024
Data Scientist,MainOne,Ibadan,632000,"TensorFlow, Python",Entry Level,Remote,Nigerian Job Market 2024
Python Developer,HRLeverage,Remote,202000,"SQL, Flask, Django",Mid Level,Contract,Nigerian Job Market 2024
Backend Developer,Paystack,Ibadan,566000,"Python, Django, Node.js",Entry Level,Remote,Nigerian Job Market 2024
IT Support Engineer,Paystack,Ibadan,159000,"ITIL, Help Desk, SQL, Linux",Senior Level,Remote,Nigerian Job Market 2024
Mobile Developer,Terragon Group,Abuja,599000,"REST API, Kotlin",Senior Level,Hybrid,Nigerian Job Market 2024
IT Support Engineer,Sterling Bank,Remote,182000,"ITIL, SQL, Windows Server, Networking",Senior Level,Remote,Nigerian Job Market 2024
Cloud Engineer,PiggyVest,Remote,384000,"Terraform, AWS, Kubernetes, Docker",Senior Level,Full Time,Nigerian Job Market 2024
Backend Developer,Talentbase,Port Harcourt,367000,"Django, REST API, FastAPI, PostgreSQL",Lead,Remote,Nigerian Job Market 2024
DevOps Engineer,Paystack,Abuja,321000,"AWS, Linux, CI/CD, Kubernetes",Lead,Remote,Nigerian Job Market 2024
Database Administrator,HRLeverage,Lagos,261000,"PostgreSQL, Oracle",Mid Level,Full Time,Nigerian Job Market 2024
Software Engineer,Paystack,Port Harcourt,598000,"SQL, Agile, Git, Docker",Lead,Remote,Nigerian Job Market 2024
Frontend Developer,Access Bank,Enugu,377000,"TypeScript, JavaScript",Lead,Remote,Nigerian Job Market 2024
Machine Learning Engineer,PiggyVest,Remote,585000,"Python, MLOps",Lead,Full Time,Nigerian Job Market 2024
Data Scientist,Dangote Group,Remote,646000,"Pandas, SQL, Machine Learning",Lead,Contract,Nigerian Job Market 2024
Backend Developer,HRLeverage,Abuja,269000,"FastAPI, Node.js",Senior Level,Remote,Nigerian Job Market 2024
API Developer,PiggyVest,Enugu,233000,"Postman, Node.js, SQL, REST API",Mid Level,Full Time,Nigerian Job Market 2024
Software Engineer,Flutterwave,Enugu,605000,"Python, Git",Senior Level,Hybrid,Nigerian Job Market 2024
Cloud Engineer,Sterling Bank,Kano,432000,"AWS, Kubernetes, Docker, Azure",Lead,Full Time,Nigerian Job Market 2024
Python Developer,Access Bank,Enugu,342000,"Python, FastAPI, SQL, Flask",Mid Level,Contract,Nigerian Job Market 2024
Cloud Engineer,Access Bank,Port Harcourt,432000,"Linux, AWS, Kubernetes",Senior Level,Contract,Nigerian Job Market 2024
Python Developer,Terragon Group,Ibadan,345000,"Django, Flask, SQL, Python",Senior Level,Contract,Nigerian Job Market 2024
Machine Learning Engineer,Airtel Nigeria,Port Harcourt,610000,"Docker, Python, TensorFlow, PyTorch",Mid Level,Remote,Nigerian Job Market 2024
Mobile Developer,Paystack,Remote,488000,"Flutter, REST API",Mid Level,Hybrid,Nigerian Job Market 2024
Business Analyst,SystemSpecs,Remote,165000,"Agile, JIRA, Power BI",Mid Level,Hybrid,Nigerian Job Market 2024
Data Scientist,PiggyVest,Remote,482000,"Pandas, Python",Lead,Hybrid,Nigerian Job Market 2024
DevOps Engineer,Softcom,Enugu,404000,"Linux, Kubernetes, AWS",Lead,Contract,Nigerian Job Market 2024
Cloud Engineer,HRLeverage,Abuja,679000,"Linux, AWS, Docker, Kubernetes",Senior Level,Hybrid,Nigerian Job Market 2024
Software Engineer,Jobberman,Kano,272000,"Java, SQL",Mid Level,Contract,Nigerian Job Market 2024
Mobile Developer,Sterling Bank,Remote,367000,"REST API, Kotlin, React Native, Flutter",Lead,Remote,Nigerian Job Market 2024
DevOps Engineer,HRLeverage,Ibadan,311000,"CI/CD, Linux",Mid Level,Remote,Nigerian Job Market 2024
Data Analyst,SystemSpecs,Lagos,175000,"Power BI, Tableau, Pandas",Entry Level,Hybrid,Nigerian Job Market 2024
Python Developer,Jobberman,Lagos,315000,"Flask, FastAPI, Docker, Python",Mid Level,Remote,Nigerian Job Market 2024
Database Administrator,HRLeverage,Remote,327000,"MongoDB, Oracle",Entry Level,Contract,Nigerian Job Market 2024
Backend Developer,Kuda Bank,Ibadan,401000,"Django, PostgreSQL, REST API",Lead,Full Time,Nigerian Job Market 2024
Data Analyst,Sterling Bank,Remote,169000,"Pandas, Excel",Mid Level,Contract,Nigerian Job Market 2024
Frontend Developer,SystemSpecs,Enugu,313000,"CSS, TypeScript",Lead,Remote,Nigerian Job Market 2024
DevOps Engineer,Interswitch,Kano,717000,"AWS, Terraform",Senior Level,Full Time,Nigerian Job Market 2024
Business Analyst,Paystack,Remote,392000,"Agile, JIRA, Excel",Mid Level,Hybrid,Nigerian Job Market 2024
Python Developer,Interswitch,Ibadan,528000,"Python, SQL",Entry Level,Hybrid,Nigerian Job Market 2024
Frontend Developer,Talentbase,Remote,364000,"CSS, JavaScript",Entry Level,Contract,Nigerian Job Market 2024
Database Administrator,PiggyVest,Remote,286000,"MySQL, MongoDB, Oracle, PostgreSQL",Senior Level,Remote,Nigerian Job Market 2024
Machine Learning Engineer,MTN Nigeria,Remote,570000,"SQL, TensorFlow, Docker, MLOps",Mid Level,Remote,Nigerian Job Market 2024
Cloud Engineer,MainOne,Remote,595000,"Azure, Terraform, Docker, Kubernetes",Senior Level,Full Time,Nigerian Job Market 2024
Business Analyst,SystemSpecs,Lagos,428000,"Requirements Analysis, Power BI, Excel",Senior Level,Full Time,Nigerian Job Market 2024
Frontend Developer,MTN Nigeria,Remote,376000,"HTML, CSS, JavaScript, React",Senior Level,Contract,Nigerian Job Market 2024
Backend Developer,Access Bank,Ibadan,515000,"PostgreSQL, Node.js, REST API, Python",Mid Level,Full Time,Nigerian Job Market 2024
Backend Developer,Kuda Bank,Lagos,411000,"REST API, FastAPI, Python",Mid Level,Hybrid,Nigerian Job Market 2024
Machine Learning Engineer,Softcom,Remote,787000,"MLOps, TensorFlow, PyTorch",Entry Level,Full Time,Nigerian Job Market 2024
Machine Learning Engineer,PiggyVest,Kano,887000,"Docker, Python",Mid Level,Full Time,Nigerian Job Market 2024
Mobile Developer,Flutterwave,Remote,403000,"React Native, Kotlin, Flutter",Entry Level,Remote,Nigerian Job Market 2024
Data Scientist,Access Bank,Remote,482000,"Statistics, Pandas, SQL, Python",Senior Level,Contract,Nigerian Job Market 2024
